school,course_code,course_title,prof_name,program,prerequisite
School of Energy and Chemical Engineering,ECHE21301,Analytical Chemistry,Jungki Ryu,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE24101,Fundamentals in Engineering Biology,Sung Kuk Lee,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE24201,Machine Learning for Chemical Engineerin,Donghyuk Kim,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE30202,Advanced Chemical Engineering Laboratory,Sang Kyu Kwak,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE30203,Advanced Chemical Engineering Laboratory,Ji Wook Jang,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE31201,Electrochemistry,Hyun-Kon Song,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE31301,Solid State Chemistry,Youngsik Kim,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE31501,Introduction to Crystallography,Sungkyun Jung,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE31701,Fundamentals of Energy Materials,"Tae-Hyuk Kwon
Kwanyong Seo",Undergraduate Course,
School of Energy and Chemical Engineering,ECHE32001,Electrocatalysis,Youngkook Kwon,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE32201,Instrumental Analysis,Seung Mo Oh,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE32301,Solar Cells Lab,Changduk Yang,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE33101,"Transport Phenomena: Momentum, Heat, and Mass Transfer",Chunggi Baig,Undergraduate Course,Differential Equations
School of Energy and Chemical Engineering,ECHE33102,"Transport Phenomena: Momentum, Heat, and Mass Transfer",Chunggi Baig,Undergraduate Course,Differential Equations
School of Energy and Chemical Engineering,ECHE34001,Biochemical Engineering,Yong Hwan Kim,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE35101,Intro to Polymer Science and Eng.,Jong-Beom Baek,Undergraduate Course,Organic Chemistry I
School of Energy and Chemical Engineering,ECHE40201,Separation Process,Hankwon Lim,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE42301,Introduction to Application Technologies,Yunseok Choi,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE44301,Chemical process Control,In-Beum Lee,Undergraduate Course,
Department of Electrical Engineering,EEE20101,Basic Circuit Theory and Laboratory,Jae Joon Kim,Undergraduate Course,
Department of Electrical Engineering,EEE20401,Electromagnetics I,Il-Sug Chung,Undergraduate Course,
Department of Electrical Engineering,EEE22301,Electrical Engineering Programming,Sung Whan Yoon,Undergraduate Course,
Department of Electrical Engineering,EEE30101,Communications and Information Theory,Jinseok Choi,Undergraduate Course,Probability and Random Process
Department of Electrical Engineering,EEE30201,Electric Energy Systems,Jingook Kim,Undergraduate Course,Basic Circuit Theory and Laboratory
Department of Electrical Engineering,EEE30401,Semiconductor Engineering,Myungsoo KIM,Undergraduate Course,
Department of Electrical Engineering,EEE31101,Microelectronics II and Laboratory,Seong-Jin Kim,Undergraduate Course,Microelectronics I and Laboratory
Department of Electrical Engineering,EEE32601,Tensor Processor Design for Image Recognition,Jongeun Lee,Undergraduate Course,
Department of Electrical Engineering,EEE35101,Automatic Control,Jeong hwan Jeon,Undergraduate Course,
Department of Electrical Engineering,EEE44101,Optoelectronics,Min-Suk Kwon,Undergraduate Course,
School of Liberal Arts,ENG11001,English Listening&Speaking(Intermediate),Peter Kim,Undergraduate Course,
School of Liberal Arts,ENG11002,English Listening&Speaking(Intermediate),Peter Kim,Undergraduate Course,
School of Liberal Arts,ENG11003,English Listening&Speaking(Intermediate),Peter Kim,Undergraduate Course,
School of Liberal Arts,ENG11004,English Listening&Speaking(Intermediate),Peter Kim,Undergraduate Course,
School of Liberal Arts,ENG11101,English Listening&Speaking(Advanced),Stephen Hazel,Undergraduate Course,
School of Liberal Arts,ENG11102,English Listening&Speaking(Advanced),Ali Safavi,Undergraduate Course,
School of Liberal Arts,ENG11103,English Listening&Speaking(Advanced),Ali Safavi,Undergraduate Course,
School of Liberal Arts,ENG11104,English Listening&Speaking(Advanced),Stephen Hazel,Undergraduate Course,
School of Liberal Arts,ENG11201,English Reading&Writing,Jonathan Nelson,Undergraduate Course,
School of Liberal Arts,ENG11202,English Reading&Writing,Jonathan Nelson,Undergraduate Course,
School of Liberal Arts,ENG11204,English Reading&Writing,Stephen Hazel,Undergraduate Course,
School of Liberal Arts,ENG11205,English Reading&Writing,Stephen Hazel,Undergraduate Course,
School of Liberal Arts,ENG11206,English Reading&Writing,Peter Kim,Undergraduate Course,
School of Liberal Arts,ENG11207,English Reading&Writing,Ali Safavi,Undergraduate Course,
School of Liberal Arts,ENG11208,English Reading&Writing,Ali Safavi,Undergraduate Course,
School of Liberal Arts,ENG11209,English Reading&Writing,Stephen Hazel,Undergraduate Course,
School of Liberal Arts,ENG11210,English Reading&Writing,Stephen Hazel,Undergraduate Course,
School of Liberal Arts,ENG11211,English Reading&Writing,William Fitzpatrick,Undergraduate Course,
School of Liberal Arts,ENG11212,English Reading&Writing,Peter Kim,Undergraduate Course,
School of Liberal Arts,ENG11213,English Reading&Writing,Ali Safavi,Undergraduate Course,
School of Liberal Arts,ENG11214,English Reading&Writing,William Fitzpatrick,Undergraduate Course,
School of Business Administration,FIA30301,Futures and Options,Sang-Ook Shin,Undergraduate Course,Financial Management
School of Business Administration,FIA30501,Corporate Finance,Junyoup Lee,Undergraduate Course,Financial Management
School of Business Administration,FIA32101,Intermediate Accounting 1,Yong Mi Kim,Undergraduate Course,Financial Accounting
School of Business Administration,FIA33201,Quantitative Finance,Hyun Jin Jang,Undergraduate Course,Financial Management
School of Business Administration,FIA40201,Fixed Income Securities,Byoung Ki Seo,Undergraduate Course,Financial Management
School of Business Administration,FIA41701,Financial Markets,Hope Hyeun Han,Undergraduate Course,Financial Management
Department of Industrial Engineering,IE20901,Industrial Operations Management,Chiehyeon Lim,Undergraduate Course,
Department of Industrial Engineering,IE30301,Data Mining,Junghye Lee,Undergraduate Course,
Department of Industrial Engineering,IE30501,Operations Research Ⅱ,Sang Jin Kweon,Undergraduate Course,Industrial Operations Management
Department of Industrial Engineering,IE36201,Statistical Quality Management,Sungil Kim,Undergraduate Course,
Department of Industrial Engineering,IE40601,Applied Machine Learning,Sunghoon Lim,Undergraduate Course,Statistics
Department of Industrial Engineering,IE40801,Principles of Deep Learning,Jaejun Yoo,Undergraduate Course,Data Mining
Department of Industrial Engineering,IE41201,AI for Finance,Yongjae Lee,Undergraduate Course,
Department of Industrial Engineering,IE45001,Project Lab.,Gi-soo Kim,Undergraduate Course,
School of New UNISTars,ITP10701,Introduction to AI Programming Ⅰ,Michael Burrell,Undergraduate Course,
School of New UNISTars,ITP10702,Introduction to AI Programming Ⅰ,Michael Burrell,Undergraduate Course,
School of New UNISTars,ITP10703,Introduction to AI Programming Ⅰ,Michael Burrell,Undergraduate Course,
School of New UNISTars,ITP11101,Probability and Random Process,Joong Soo Ma,Undergraduate Course,
School of New UNISTars,ITP11701,Introduction to AI Programming Ⅱ,Hyeonwoo Yu,Undergraduate Course,
School of Liberal Arts,LNG10001,Korean Writing,Jin-Young Kim,Undergraduate Course,
School of Liberal Arts,LNG10002,Korean Writing,Yun Na Jeong,Undergraduate Course,
School of Liberal Arts,LNG10003,Korean Writing,Yun Na Jeong,Undergraduate Course,
School of Liberal Arts,LNG20101,Chinese Ⅰ,Yongmei Hao,Undergraduate Course,
School of Liberal Arts,LNG20102,Chinese Ⅰ,Yongmei Hao,Undergraduate Course,
School of Liberal Arts,LNG20103,Chinese Ⅰ,Yongmei Hao,Undergraduate Course,
School of Liberal Arts,LNG20104,Chinese Ⅰ,Yongmei Hao,Undergraduate Course,
School of Liberal Arts,LNG20105,Chinese Ⅰ,Yongmei Hao,Undergraduate Course,
School of Liberal Arts,LNG20106,Chinese Ⅰ,Yongmei Hao,Undergraduate Course,
Department of Mechanical Engineering,MEN21001,Thermodynamics,Jooha Kim,Undergraduate Course,
Department of Mechanical Engineering,MEN23001,Solid Mechanics I,Namhun Kim,Undergraduate Course,
Department of Mechanical Engineering,MEN25001,Mechanical Drawing and Lab,Hoon Eui Jeong,Undergraduate Course,
Department of Mechanical Engineering,MEN31001,Heat Transfer,Aejung Yoon,Undergraduate Course,Thermodynamics
Department of Mechanical Engineering,MEN35001,Manufacturing Processes and Lab,Young-Bin Park,Undergraduate Course,Solid Mechanics I
Department of Mechanical Engineering,MEN35101,Machine Element Design,Wooseok Ji,Undergraduate Course,Solid Mechanics II
Department of Mechanical Engineering,MEN37001,Dynamic Systems and Control,Joonbum Bae,Undergraduate Course,
Department of Mechanical Engineering,MEN37101,System Dynamics,Sang Hoon Kang,Undergraduate Course,
Department of Mechanical Engineering,MEN42001,Introduction to Aerosol Technology,Jaesung Jang,Undergraduate Course,
Department of Mechanical Engineering,MEN43101,Intro to Plastic Deformation,Hyung Wook Park,Undergraduate Course,Solid Mechanics II
Department of Mechanical Engineering,MEN45601,Artificial Intelligence Based Digital Manufacturing,Im Doo Jung,Undergraduate Course,
Department of Mechanical Engineering,MEN48101,UAV Flight Control and Simulation,Hyondong Oh,Undergraduate Course,Dynamic Systems and Control
School of Business Administration,MGT10101,Business Communication & Leadership,Victoria Kim,Undergraduate Course,
School of New UNISTars,MGT10201,Entrepreneurship,Victoria Kim,Undergraduate Course,
School of New UNISTars,MGT10601,Economics,Keunsuk Chung,Undergraduate Course,
School of Business Administration,MGT20201,Organizational Behavior,Lu Zhang,Undergraduate Course,
School of Business Administration,MGT20401,Marketing Management,Molan Kim,Undergraduate Course,
School of Business Administration,MGT20501,Financial Accounting,Jeong Hwan Joo,Undergraduate Course,
School of Business Administration,MGT20701,Financial Management,Hope Hyeun Han,Undergraduate Course,
School of Business Administration,MGT20901,Operations Management,Joonhwan In,Undergraduate Course,
School of Business Administration,MGT31201,Macroeconomics,Keunsuk Chung,Undergraduate Course,Microeconomics
School of Business Administration,MGT31501,Econometrics,Saiah Lee,Undergraduate Course,Statistics
School of Business Administration,MGT36701,Business Data Science,Han-Gyun Woo,Undergraduate Course,Statistics
School of Business Administration,MGT41201,Special Topics in MGT III (Electromobility),Sang Moo Huh,Undergraduate Course,
School of Business Administration,MGT47101,Managing  innovation and Change,Young-Choon Kim,Undergraduate Course,
School of Business Administration,MGT49901,Strategic Management,Shinhye Ahn,Undergraduate Course,
Department of Materials Science and Engineering,MSE20201,Intro. to Materials Science and Eng.,Kyoung Jin Choi,Undergraduate Course,
Department of Materials Science and Engineering,MSE20401,Electromagnetics,Jiyun Kim,Undergraduate Course,
Department of Materials Science and Engineering,MSE23001,Introduction to Crystallography,Seungho Cho,Undergraduate Course,
Department of Materials Science and Engineering,MSE31201,Phase Transformations in Materials,Sung Soo Park,Undergraduate Course,
Department of Materials Science and Engineering,MSE31701,Surface Science of Materials,Hyung-Joon Shin,Undergraduate Course,Intro. to Materials Science and Eng.
Department of Materials Science and Engineering,MSE35401,Introduction to Semiconductors,Joonki Suh,Undergraduate Course,
Department of Materials Science and Engineering,MSE35601,Nanophotonics,Young Chul Jun,Undergraduate Course,
Department of Materials Science and Engineering,MSE37201,Polymer Physics,Chaenyung Cha,Undergraduate Course,
Department of Materials Science and Engineering,MSE40101,Transmission Electron Microscopy,Zonghoon Lee,Undergraduate Course,
Department of Materials Science and Engineering,MSE45601,Semiconductor Materials and Devices,Tae-Sik Yoon,Undergraduate Course,
School of New UNISTars,MTH11101,Calculus I,Jung Eun Kim,Undergraduate Course,
School of New UNISTars,MTH11102,Calculus I,Lee Jungjin,Undergraduate Course,
School of New UNISTars,MTH11103,Calculus I,Hyeungjoon Kim,Undergraduate Course,
School of New UNISTars,MTH11104,Calculus I,Hyeungjoon Kim,Undergraduate Course,
School of New UNISTars,MTH11201,Calculus II,Hyeungjoon Kim,Undergraduate Course,
School of New UNISTars,MTH20101,Differential Equations,Jung Eun Kim,Undergraduate Course,Calculus I
School of New UNISTars,MTH20102,Differential Equations,Jung Eun Kim,Undergraduate Course,Calculus I
School of New UNISTars,MTH20301,Applied Linear Algebra,Lee Jungjin,Undergraduate Course,
School of New UNISTars,MTH20302,Applied Linear Algebra,Lee Jungjin,Undergraduate Course,
Department of Mathematical Sciences,MTH21001,Mathematical Foundations of Machine Learning,Rak-Kyeong Seong,Undergraduate Course,
School of New UNISTars,MTH21101,Statistics,Bogume Jang,Undergraduate Course,
School of New UNISTars,MTH21102,Statistics,Bogume Jang,Undergraduate Course,
School of New UNISTars,MTH21103,Statistics,Hyun Jin Jang,Undergraduate Course,
Department of Mathematical Sciences,MTH25101,Mathematical Analysis I,Yunho Kim,Undergraduate Course,
Department of Mathematical Sciences,MTH30201,Modern Algebra I,Jaehyun Cho,Undergraduate Course,
Department of Mathematical Sciences,MTH31301,Complex Analysis I,Pilwon Kim,Undergraduate Course,
Department of Mathematical Sciences,MTH34301,Financial Mathematics,Jin Hyuk Choi,Undergraduate Course,
Department of Mathematical Sciences,MTH40101,Real Analysis,Hantaek Bae,Undergraduate Course,General Topology
Department of Mathematical Sciences,MTH40501,Numerical Analysis and Applications,Bongsoo Jang,Undergraduate Course,
Department of Mathematical Sciences,MTH42101,Intro. to Partial Differential Equations,Chang-Yeol Jung,Undergraduate Course,Differential Equations
Department of Nuclear Engineering,NE20001,Fundamentals of Nuclear Engineering,Douglas Fynan,Undergraduate Course,
Department of Nuclear Engineering,NE21001,Nuclear Radiation Eng & Experiment,Hee Reyoung Kim,Undergraduate Course,
Department of Nuclear Engineering,NE24001,Nuclear Chemical Engineering,Jaeyeong Park,Undergraduate Course,
Department of Nuclear Engineering,NE25001,Fundamentals of Electromagnetics,Hee Reyoung Kim,Undergraduate Course,
Department of Nuclear Engineering,NE30101,Nuclear Reactor Numerical Analysis,Deokjung Lee,Undergraduate Course,
Department of Nuclear Engineering,NE32001,Introduction to Nuclear Reliability Engi,Seung Jun Lee,Undergraduate Course,
Department of Nuclear Engineering,NE33001,Nuclear Fuel Engineering & Experiment,Sangjoon Ahn,Undergraduate Course,
Department of Nuclear Engineering,NE33101,Thermodynamics and Metallurgy of Nuclear,Sangjoon Ahn,Undergraduate Course,
Department of Nuclear Engineering,NE34001,Introduction to Nuclear Fuel Cycle Eng,Jaeyeong Park,Undergraduate Course,
Department of Nuclear Engineering,NE37001,Nuclear Power Plant Accident Diagnosis using AI Techniques,Seung Jun Lee,Undergraduate Course,
Department of Nuclear Engineering,NE40001,Fundamentals of Nuclear Fusion,Eisung Yoon,Undergraduate Course,
Department of Nuclear Engineering,NE41001,Power Plant Systems,Douglas Fynan,Undergraduate Course,
School of New UNISTars,PHY10101,General Physics I,Sangyong Yi,Undergraduate Course,
School of New UNISTars,PHY10102,General Physics I,Sangyong Yi,Undergraduate Course,
School of New UNISTars,PHY10103,General Physics I,Chae Un Kim,Undergraduate Course,
School of New UNISTars,PHY10701,General Physics Lab I,KYUJIN KWAK,Undergraduate Course,
School of New UNISTars,PHY10702,General Physics Lab I,Jaeup Kim,Undergraduate Course,
School of New UNISTars,PHY10703,General Physics Lab I,KYUJIN KWAK,Undergraduate Course,
School of New UNISTars,PHY10704,General Physics Lab I,Jaeup Kim,Undergraduate Course,
School of New UNISTars,PHY10705,General Physics Lab I,KYUJIN KWAK,Undergraduate Course,
School of New UNISTars,PHY10706,General Physics Lab I,Jaeup Kim,Undergraduate Course,
School of New UNISTars,PHY10707,General Physics Lab I,Cheol-Min Ghim,Undergraduate Course,
School of New UNISTars,PHY10708,General Physics Lab I,Jaeup Kim,Undergraduate Course,
School of New UNISTars,PHY10709,General Physics Lab I,KYUJIN KWAK,Undergraduate Course,
School of New UNISTars,PHY10710,General Physics Lab I,Cheol-Min Ghim,Undergraduate Course,
School of New UNISTars,PHY10711,General Physics Lab I,KYUJIN KWAK,Undergraduate Course,
School of New UNISTars,PHY10712,General Physics Lab I,Cheol-Min Ghim,Undergraduate Course,
School of New UNISTars,PHY10713,General Physics Lab I,KYUJIN KWAK,Undergraduate Course,
School of New UNISTars,PHY10714,General Physics Lab I,Cheol-Min Ghim,Undergraduate Course,
School of New UNISTars,PHY10715,General Physics Lab I,KYUJIN KWAK,Undergraduate Course,
School of New UNISTars,PHY10716,General Physics Lab I,Jaeup Kim,Undergraduate Course,
School of New UNISTars,PHY10717,General Physics Lab I,Cheol-Min Ghim,Undergraduate Course,
School of New UNISTars,PHY10718,General Physics Lab I,Jaeup Kim,Undergraduate Course,
School of New UNISTars,PHY10719,General Physics Lab I,KYUJIN KWAK,Undergraduate Course,
School of New UNISTars,PHY10720,General Physics Lab I,Cheol-Min Ghim,Undergraduate Course,
School of New UNISTars,PHY10721,General Physics Lab I,KYUJIN KWAK,Undergraduate Course,
School of New UNISTars,PHY10722,General Physics Lab I,Cheol-Min Ghim,Undergraduate Course,
School of New UNISTars,PHY10723,General Physics Lab I,KYUJIN KWAK,Undergraduate Course,
Department of Physics,PHY20101,Classical Mechanics I,Jaeup Kim,Undergraduate Course,General Physics II
Department of Physics,PHY20301,Electromagnetism I,Hyeong-Ryeol Park,Undergraduate Course,General Physics I
Department of Physics,PHY21301,Modern Physics,Changhee Sohn,Undergraduate Course,General Physics I
Department of Physics,PHY30101,Quantum Physics I,Kunook Chung,Undergraduate Course,General Physics II
Department of Physics,PHY30301,Thermal and Statistical Physics Ⅰ,Yoon Seok Oh,Undergraduate Course,General Physics II
Department of Physics,PHY30701,Physics Lab II,Changhee Sohn,Undergraduate Course,General Physics II
Department of Physics,PHY31101,Computational Physics,Noejung Park,Undergraduate Course,
Department of Physics,PHY41501,Solid State Physics II : Quantum Material,Seon Namgung,Undergraduate Course,Solid State Physics I
Department of Physics,PHY42101,Introduction to Quantum Computing,Kibog Park,Undergraduate Course,
Department of Physics,PHY42701,Introduction to Plasma Physics,Min Sup Hur,Undergraduate Course,Electromagnetism I
Department of Physics,PHY44101,Fluid Physics,Hyuk Kyu Pak,Undergraduate Course,Classical Mechanics I
School of Liberal Arts,SLA11101,Understanding Visual Arts,Kyong-Mi Paek,Undergraduate Course,
School of Liberal Arts,SLA12301,Contemporary Piano,Inkyoung Lee,Undergraduate Course,
School of Liberal Arts,SLA14101,Media and Culture,Minkyu Sung,Undergraduate Course,
School of Liberal Arts,SLA14102,Media and Culture,Minkyu Sung,Undergraduate Course,
School of Liberal Arts,SLA15201,Evolution of Civilization,Hyomin Kim,Undergraduate Course,
School of Liberal Arts,SLA15301,Foundations of East Asian Civilization,Christopher Lovins,Undergraduate Course,
School of Liberal Arts,SLA15401,History of Modern East Asia,Christopher Lovins,Undergraduate Course,
School of Liberal Arts,SLA18101,Discovering Anthropology,Jinsook Choi,Undergraduate Course,
School of Liberal Arts,SLA19001,Introduction to Linquistics,Jeongyeon Kim,Undergraduate Course,
School of Liberal Arts,SLA21301,Themes of Contemporary Art,Kyong-Mi Paek,Undergraduate Course,
School of Liberal Arts,SLA22101,Advanced Piano,Inkyoung Lee,Undergraduate Course,
School of Liberal Arts,SLA23401,Contemporary Korean Fiction,Jae Yon Lee,Undergraduate Course,
School of Liberal Arts,SLA23501,Introduction to Digital Humanities,Jae Yon Lee,Undergraduate Course,
School of Liberal Arts,SLA23502,Introduction to Digital Humanities,Jae Yon Lee,Undergraduate Course,
School of Liberal Arts,SLA24201,Media Technology and Human Values,Minkyu Sung,Undergraduate Course,
School of Liberal Arts,SLA25101,History of Modern Korea,Christopher Lovins,Undergraduate Course,
School of Liberal Arts,SLA25501,"Introduction to Science, Technology and Society",Hyomin Kim,Undergraduate Course,
School of Liberal Arts,SLA25801,Economic Anthropology,Bradley Scott Tatar,Undergraduate Course,
School of Liberal Arts,SLA26101,Critical Thinking,Huiyuhl Yi,Undergraduate Course,
School of Liberal Arts,SLA26201,Philosophy of Religion,Seungbae Park,Undergraduate Course,
School of Liberal Arts,SLA26301,Fundamental Issues of Philosophy,Huiyuhl Yi,Undergraduate Course,
School of Liberal Arts,SLA29801,Global English in Engineering Community,Jeongyeon Kim,Undergraduate Course,
School of Liberal Arts,SLA33201,Dostoevsky and Tolstoy,Saera Yoon,Undergraduate Course,
School of Liberal Arts,SLA34201,"Personality, Self, and Communication: Intrapersonal Communication",Jin-Young Kim,Undergraduate Course,
School of Liberal Arts,SLA38001,Topics in Anthropology,Jinsook Choi,Undergraduate Course,
School of Liberal Arts,SLA46101,Philosophy of Science,Seungbae Park,Undergraduate Course,
School of Liberal Arts,SLA48101,Risk Society and the 21st Century,Bradley Scott Tatar,Undergraduate Course,
School of Technology Management,TIE49001,Interdisciplinary Projects,Young Rok Choi,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE20101,Intro to Environmental Engineering,Jaeweon Cho,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE20201,Earth and Environmental Sciences,SARAH M KANG,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE20301,Intro to Civil Engineering,Sukhoon Pyo,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE20401,Introduction to Urban Planning,Jeongseob Kim,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE20501,Introduction to Natural Hazards,Dong-Hyun Cha,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE21101,Environmental Chemistry,Young-Nam Kwon,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE31401,Environmental Data Analysis and Practice,Kyung Hwa Cho,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE32201,Intro to Remote Sensing,Jungho Im,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE32401,Environmental Thermodynamics,Yongwon Seo,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE33101,Structural Analysis,Sukhoon Pyo,Undergraduate Course,Mechanics of Materials
Department of Urban and Environmental Engineering,UEE33601,Soil Mechanics,Byungmin Kim,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE33701,Building Collapse and Safety Insepction Techniques,Gun Kim,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE42401,Statistics in Earth&Enviroment Sciences,Myong-In Lee,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE44101,Urban Design,Gihyoug Cho,Undergraduate Course,
Undergraduate School,ULP20101,Leadership_Rowing,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP20102,Leadership_Rowing,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP21101,Leadership_First AID,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP21301,Leadership_Archery,HwanWook Kim,Undergraduate Course,
Undergraduate School,ULP21302,Leadership_Archery,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP21303,Leadership_Archery,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP21304,Leadership_Archery,HwanWook Kim,Undergraduate Course,
Undergraduate School,ULP21501,Leadership_Gukgung(Korean Archery),"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP21701,Leadership_Basic Golf,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP21901,Leadership_yoga,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP22001,Leadership_Tennis,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP22201,Leadership_Surfing,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP22202,Leadership_Surfing,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP22301,Leadership_Taekwondo,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP30501,Leadership_Peer Leadership,Jaekyom Shim,Undergraduate Course,
Undergraduate School,ULP30701,Leadership_Solving Local Problems Project,Jaekyom Shim,Undergraduate Course,
Undergraduate School,ULP30801,Leadership_Handicrafts,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP40301,Local Visits,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP40401,Leadership_Sign Language,Jaekyom Shim,Undergraduate Course,
Undergraduate School,ULP40901,Special Leadership Lectures,Jaekyom Shim,Undergraduate Course,
Undergraduate School,ULP41201,Leadership_CA Mentorship(Mentor),"Jaekyom Shim
Eun Seo Ryu",Undergraduate Course,
Undergraduate School,ULP41301,Leadership_CA Mentorship(Mentee),"Jaekyom Shim
Eun Seo Ryu",Undergraduate Course,
Undergraduate School,ULP41401,Leadership_Production of Media,Jaekyom Shim,Undergraduate Course,
Undergraduate School,ULP41601,Leadership_CA Mentor leadership education,"Jaekyom Shim
Eun Seo Ryu",Undergraduate Course,
Undergraduate School,ULP41801,Leadership_Mental Health I,Jaekyom Shim,Undergraduate Course,
Undergraduate School,ULP60101,Leadership_Volunteer work 1,"Jaekyom Shim
JOONHYUNG KIM",Undergraduate Course,
Undergraduate School,ULP60201,Leadership_Volunteer work 2,"Jaekyom Shim
JOONHYUNG KIM",Undergraduate Course,
Undergraduate School,ULP60301,Leadership_Volunteer work 3,"Jaekyom Shim
JOONHYUNG KIM",Undergraduate Course,
Undergraduate School,ULP60401,Leadership_Volunteer work 4,"Jaekyom Shim
JOONHYUNG KIM",Undergraduate Course,
School of New UNISTars,UNI11001,Understanding Electrical Engineering,Jee Hoon Jung,Undergraduate Course,
School of New UNISTars,UNI11401,Why Chemistry?,Jaeheung Cho,Undergraduate Course,
Department of Computer Science and Engineering,UNI20401,Software Hacking and Defense,Hyungon Moon,Undergraduate Course,
Department of Industrial Engineering,UNI20501,Dynamic Programming and its Applications,Sang Jin Kweon,Undergraduate Course,
